Timestamp,Signal_Name,Bit_Len,Bit_Name1,Bit_Name2,Bit_Name3,Bit_Name4,Bit_Name5,Bit_Name6,Bit_Name7,Bit_Name8
0.124041,CAN_S7,8,00,00,00,00,00,00,00,00
0.125189,CAN_S8,8,23,EF,3F,80,00,00,00,00
0.125429,CAN_S9,8,EC,7F,7F,00,82,00,40,00
0.125668,CAN_S10,8,D4,8F,65,00,00,00,C3,00
0.129332,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.129636,CAN_S13,8,00,00,00,00,FF,00,00,00
0.129922,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.130223,CAN_S15,8,00,00,00,00,00,00,00,00
0.130523,CAN_S16,8,00,00,00,00,00,00,00,00
0.131093,CAN_S38,8,14,0C,40,02,FE,7F,7F,0C
0.131657,CAN_S39,8,00,00,00,C1,80,00,00,00
0.133224,CAN_S40,8,8D,80,09,00,00,00,00,00
0.133456,CAN_S5,8,3F,D8,9F,78,FD,F5,37,1E
0.133706,CAN_S24,8,00,00,FE,00,00,00,00,00
0.134046,CAN_S41,8,80,00,00,00,01,05,01,0E
0.134282,CAN_S42,8,6C,27,E3,01,4A,C2,0C,40
0.135419,CAN_S43,8,15,00,00,00,00,00,00,00
0.136961,CAN_S87,8,00,00,00,00,00,00,00,00
0.137249,CAN_S88,8,FF,03,F0,FF,FF,FF,4B,21
0.13882,CAN_S30,8,7B,05,00,00,30,8C,7E,FE
0.139262,CAN_S32,8,1A,0D,80,12,00,00,00,00
0.139546,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.13985,CAN_S13,8,00,00,00,00,FF,00,00,00
0.140136,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.140437,CAN_S15,8,00,00,00,00,00,00,00,00
0.140737,CAN_S16,8,00,00,00,00,00,00,00,00
0.140985,CAN_S45,8,00,00,00,28,00,00,00,00
0.141647,CAN_S47,8,00,00,00,78,80,00,00,00
0.143372,CAN_S5,8,EF,D9,9F,78,FD,F5,37,1E
0.14362,CAN_S4,8,00,00,00,00,F0,03,00,00
